Origen,Destino,Modo,Horario,Tiempo
Darregueyra ,Balcarce 1,transit,,26
Darregueyra ,Entre Ríos y Rivadavia,bicycling,,22
Darregueyra ,Entre Ríos y Rivadavia,transit,,36
Honorio Pueyrredon 501,Balcarce 1,transit,,31
Honorio Pueyrredon 501,Entre Ríos y Rivadavia,bicycling,,20
Honorio Pueyrredon 501,Entre Ríos y Rivadavia,transit,,23
La Pampa 2000.,Balcarce 1,transit,,36
La Pampa 2000.,Entre Ríos y Rivadavia,bicycling,,36
La Pampa 2000.,Entre Ríos y Rivadavia,transit,,40
Av Roosevelt 2401,Balcarce 1,transit,,34
Av Roosevelt 2401,Entre Ríos y Rivadavia,bicycling,,40
Av Roosevelt 2401,Entre Ríos y Rivadavia,transit,,37
Levene 901,Balcarce 1,transit,,25
Levene 901,Entre Ríos y Rivadavia,bicycling,,13
Levene 901,Entre Ríos y Rivadavia,transit,,22
Malabia 2401,Balcarce 1,transit,,22
Malabia 2401,Entre Ríos y Rivadavia,bicycling,,19
Malabia 2401,Entre Ríos y Rivadavia,transit,,33
Centenera 301,Balcarce 1,transit,,26
Centenera 301,Entre Ríos y Rivadavia,bicycling,,21
Centenera 301,Entre Ríos y Rivadavia,transit,,17
Peron 4201,Balcarce 1,transit,,30
Peron 4201,Entre Ríos y Rivadavia,bicycling,,17
Peron 4201,Entre Ríos y Rivadavia,transit,,22
Laprida 1601,Balcarce 1,transit,,19
Laprida 1601,Entre Ríos y Rivadavia,bicycling,,14
Laprida 1601,Entre Ríos y Rivadavia,transit,,26
Libertador 1101,Balcarce 1,transit,,25
Libertador 1101,Entre Ríos y Rivadavia,bicycling,,15
Libertador 1101,Entre Ríos y Rivadavia,transit,,22
Sanchez de Bustamante y Arenales,Balcarce 1,transit,,19
Sanchez de Bustamante y Arenales,Entre Ríos y Rivadavia,bicycling,,15
Sanchez de Bustamante y Arenales,Entre Ríos y Rivadavia,transit,,26
Concepción Arenal,Balcarce 1,transit,,48
Concepción Arenal,Entre Ríos y Rivadavia,bicycling,,28
Concepción Arenal,Entre Ríos y Rivadavia,transit,,36
C1015,Balcarce 1,transit,,12
C1015,Entre Ríos y Rivadavia,bicycling,,6
C1015,Entre Ríos y Rivadavia,transit,,21
