,Superficie total,Superficie cubierta,Ambientes,Baños,Cochera,Dormitorios,Toilette,Antigüedad,Alquiler,Expensas,URL,Direccion,Ubicacion,Descripcion,Caracteristicas,Cocheras,Toilettes,Disposición,Estado del inmueble,Luminosidad,Orientación
0,80,75.0,3,2,1,2,1,20.0,21000.0,2000.0,http://www.zonaprop.com.ar/propiedades/hermoso-y-amplio-departamento-en-palermo-soho-46029553.html,Darregueyra ,"C FLB, Buenos Aires, Argentina, Palermo Chico, Palermo","Hermoso departamento en Palermo Soho. Muy luminoso y espacioso.Son 75 mts. cuadrados distribuidos de la siguiente manera:Dos habitaciones, una en suite con baño completo y balcón.Cocina independiente con lavadora.Living comedor amplio con salida a otro balcón.Toilette con ducha.Todos los ambientes tienen aire acondicionado.","{'Servicios': ('Gas natural', 'Internet', 'Luz', 'Caja Fuerte', 'Video cable', 'Agua corriente', 'Desagüe cloacal', 'Servicio de limpieza', 'Encargado / Vigilancia', 'Internet / Wifi', 'Pavimento', 'Ascensor', 'Teléfono', 'Laundry'), 'Ambientes': ('Balcón',), 'Características': ('Aire acondicionado', 'Lavarropas', 'Calefacción', 'Amoblado', 'Lavavajillas')}",,,,,,
1,55,55.0,3,1,,2,,25.0,26000.0,6500.0,http://www.zonaprop.com.ar/propiedades/departamento-caballito-46004516.html,Honorio Pueyrredon al 500,"Caballito, Capital Federal","Hermoso semipiso amplio, luminoso, muy buen departamento, excelente ubicaciónPIDA TASACIÓN: Efectuada por profesionales, que analizan permanentemente el desenvolvimiento del mercado. Confíe su patrimonio en una empresa sólida con respaldo y prestigio. Confíe en el Líder. GOLDSTEIN PROPIEDADES.Se deja constancia que los m2 son aproximados, al igual que las medidas parciales y el valor consignado de las expensas mensuales (en caso que corresponda pago de expensas) están sujetos a verificación y/o ajustes, el precio del inmueble puede ser modificado sin previo aviso. En el caso de tratarse de un inmueble en construcción los detalles de terminación y la fecha de entrega están sujetos a revisión. Fotos de carácter no contractual. Las unidades publicadas están sujetas a disponibilidad. Goldstein Propiedades srl actúa solamente en carácter de comercializadora de los inmuebles ofrecidos. En caso de tratarse de un terreno, la información de m2 construibles es orientativa, debiendo ser constatada por el interesado. Inmueble no accesible para personas con discapacidad física LEY 5115. Únicamente en el caso de tratarse de alquiler de vivienda familiar, rige lo indicado en la LEY 5859.","{'Características generales': ('Cantidad dormitorios: 2', 'Superficie del terreno (m²): 0'), 'Ambientes': ('Cocina', 'Lavadero', 'Balcón', 'Living comedor')}",0,0,Contrafrente,Bueno,,
2,70,65.0,3,1,1,2,,40.0,30000.0,13000.0,http://www.zonaprop.com.ar/propiedades/belgrano-la-pampa-al-2000.-semi-piso-de-3-46023967.html,La Pampa al 2000.,"Belgrano, Capital Federal",BELGRANO I Semipiso de 3 ambientes al contrafrente. Living-comedor con salida a balcón. Cocina independiente y dependencia de servicio. Con 2 dormitorios + baño completo. Cochera fija y cubierta. El edificio está ubicado a 3 cuadra de Av. Cabildo y 5 cuadras de Av. Libertador.David Cipolla PropiedadesBelgrano 4784.0040 I La Imprenta 4774.8892 I Barrancas 4784.3795 . Ver datos Matrículas 4052-CUCICBA I 6065-CMCPSI,"{'Características generales': ('Cantidad dormitorios: 2', 'Superficie del terreno (m²): 0', 'Cobertura cochera: Cubierta'), 'Servicios': ('Gas natural', 'Luz', 'Agua corriente', 'Laundry'), 'Ambientes': ('Dependencia servicio', 'Lavadero', 'Balcón', 'Living comedor')}",,0,Contrafrente,Bueno,Muy luminoso,
3,55,55.0,3,1,,2,,25.0,26000.0,6500.0,http://www.zonaprop.com.ar/propiedades/departamento-caballito-46030349.html,Honorio Pueyrredon al 500,"Caballito, Capital Federal","Hermoso semipiso amplio, luminoso, muy buen departamento, excelente ubicaciónPIDA TASACIÓN: Efectuada por profesionales, que analizan permanentemente el desenvolvimiento del mercado. Confíe su patrimonio en una empresa sólida con respaldo y prestigio. Confíe en el Líder. GOLDSTEIN PROPIEDADES.Se deja constancia que los m2 son aproximados, al igual que las medidas parciales y el valor consignado de las expensas mensuales (en caso que corresponda pago de expensas) están sujetos a verificación y/o ajustes, el precio del inmueble puede ser modificado sin previo aviso. En el caso de tratarse de un inmueble en construcción los detalles de terminación y la fecha de entrega están sujetos a revisión. Fotos de carácter no contractual. Las unidades publicadas están sujetas a disponibilidad. Goldstein Propiedades srl actúa solamente en carácter de comercializadora de los inmuebles ofrecidos. En caso de tratarse de un terreno, la información de m2 construibles es orientativa, debiendo ser constatada por el interesado. Inmueble no accesible para personas con discapacidad física LEY 5115. Únicamente en el caso de tratarse de alquiler de vivienda familiar, rige lo indicado en la LEY 5859.","{'Características generales': ('Cantidad dormitorios: 2', 'Superficie del terreno (m²): 0'), 'Ambientes': ('Cocina', 'Lavadero', 'Balcón', 'Living comedor')}",0,0,Contrafrente,Bueno,,
4,72,65.0,3,1,,2,1,8.0,30000.0,9000.0,http://www.zonaprop.com.ar/propiedades/departamento-belgrano-45945939.html,Av Roosevelt al 2400,"Belgrano, Capital Federal","DISPONIBLE A PARTIR 10/05/20Hermoso departamento al frenteBalcón corrido sobre Av. Roosevelt, a metros de Av. CabildoTodo PISO DE PORCELANATO ( NO MADERA COMO SE VE EN LAS FOTOS ) , 2 dormitorios con placard.Cocina comedor integrada.Toilette y baño completo. LOSA RADIANTE INDIVIDUAL .Las expensas incluyen AYSA, portero con vivienda y laundry, $9000","{'Características generales': ('Apto profesional', 'Cantidad dormitorios: 2', 'Superficie del terreno (m²): 0'), 'Servicios': ('Gas natural', 'Luz', 'Video cable', 'Agua corriente', 'Desagüe cloacal', 'Pavimento', 'Teléfono'), 'Ambientes': ('Cocina', 'Balcón', 'Living', 'Living comedor', 'Toilette')}",0,,Frente,Excelente,,
5,168,160.0,5,3,1,4,,60.0,1.0,,http://www.zonaprop.com.ar/propiedades/5-ambientes-con-vista-al-rio-cochera-opcional-45944918.html,Levene 900,"Recoleta, Capital Federal","XINTEL(PMI-PMI-1469)  Alquiler de Departamento 5 AMBIENTES en Recoleta, Capital Federal  Espectacular piso con vista increible al río y museo de Bellas artes. Son 168 metros con balcón al frente. Cuenta con living y comedor con vista, cocina muy amplia, 3 dormitorios + 4to dormitorio o escritorio. Baño completo y toilete con ducha. Dependencia, toilete de servicio y sector de lavadero. Calefacción central, agua caliente individual. COCHERA OPCIONAL $5.000 (Se encuentra a la vuelta del departamento) REQUISITOS: 1 MES DE ADELANTO 1 MES DE DEPÓSITO ( EN DÓLARES) GARANTÍA DE CAPITAL FEDERAL SE AJUSTA SEMESTRALMENTE  17%SE ENTREGA PINTADOEL PRECIO ES PAQUETE: INCLUYE EXPENSAS, ABL Y AYSA","{'Características generales': ('Apto profesional', 'Cantidad pisos en edificio: 14', 'Cantidad de ascensores: 2', 'Cantidad dormitorios: 4', 'Departamentos por piso: 1'), 'Ambientes': ('Escritorio',)}",,0,Frente,Muy bueno,,E
6,50,50.0,3,1,,2,,35.0,27000.0,3600.0,http://www.zonaprop.com.ar/propiedades/departamento-botanico-45999879.html,Malabia al 2400,"Palermo, Capital Federal","IMPECABLE 3 AMBIENTES EN EL CORAZON DEL BOTANICO A PASOS DE AV. SANTA FE, DOS DORMITORIOS COMPLETOS CON PLACARD, BAÑO COMPLETO, AMPLIA COCINA Y LAVADERO INDEPENDIENTE. PISOS PLASTIFICADOS , SERVICIOS INDIVIDUALES, BAJAS EXPENSAS.MUY LUMINOSO , EXCELENTE UBICACION ACCESO A TODAS LAS LINEAS DE COLECTIVOS Y SUBTE.","{'Características generales': ('Cantidad dormitorios: 2', 'Superficie del terreno (m²): 0'), 'Servicios': ('Gas natural', 'Luz', 'Agua corriente', 'Desagüe cloacal', 'Pavimento'), 'Ambientes': ('Cocina', 'Balcón', 'Living comedor'), 'Características': ('Aire acondicionado',)}",0,0,Contrafrente,Muy bueno,,E
7,74,75.0,4,1,,3,1,47.0,24000.0,4000.0,http://www.zonaprop.com.ar/propiedades/departamento-caballito-45981892.html,Centenera al 300,"Caballito, Capital Federal","Departamento en venta y/o alquiler en Caballito de 3 dormitorios al frente con balcón, orientación Este. Edificio torre con grupo electrógeno. Vista panorámica. Living comedor,  dormitorios con placards , cocina office, lavadero independiente,  baño completo  y toilette con ducha. Seguridad 24 horas. Muy luminoso. Cercanías a Av. Rivadavia, Subte A y Av. Pedro Goyena.Ley 5859 - Art. 4: ""Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes"".CUCICBA MAT. 136D'Odorico PropiedadesRef. Propiedad: DAPVer datos","{'Características generales': ('Cantidad dormitorios: 3', 'Superficie del terreno (m²): 0'), 'Servicios': ('Gas natural', 'Luz'), 'Ambientes': ('Cocina', 'Lavadero', 'Balcón', 'Living comedor', 'Toilette')}",0,,Frente,Muy bueno,Muy luminoso,E
8,79,58.0,3,1,,2,,35.0,23500.0,5100.0,http://www.zonaprop.com.ar/propiedades/lindisimo-y-amplio-3-ambientes-con-patio-htal-45950202.html,Peron al 4200,"Almagro, Capital Federal","Lindisimo y Amplio tres ambientes. - Juan Domingo Perón 4200 frente al Hospital Italiano.Cocina con sector para lavadero.Dos dormitorios con salida a patios internos  (uno de ellos semi cubierto)Piso de parquet,Todos los ambientes ventilados.Aire acondicionado en el living.Expensas Marzo $ 5119 “Se encuentra prohibido cobrar comisiones inmobiliarias y gastos de gestoría de informes a los inquilinos que sean personas físicas. Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato”","{'Características generales': ('Cantidad dormitorios: 2', 'Superficie del terreno (m²): 0'), 'Servicios': ('Gas natural', 'Luz', 'Agua corriente', 'Desagüe cloacal', 'Pavimento'), 'Ambientes': ('Cocina', 'Patio', 'Lavadero')}",0,0,,,,
9,60,,3,1,,2,1,0.0,28000.0,8000.0,http://www.zonaprop.com.ar/propiedades/departamento-recoleta-46029101.html,Laprida al 1600,"Recoleta, Capital Federal","ALQUILER TEMPORARIO CON MUEBLES  3 MESES CON POSIBLE RENOVACIÓN. A DOS CUADRAS DEL HOSPITAL ALEMÁN.Excelente estado 4to piso al contrafrente  con balcón. 2 dormitorios-living-comedor-baño/toilette-amplia cocina -muy luminoso-silencioso.Servicios individuales. Todo equipado  Tv  de 42 y 43"". Aire acondicionado frio y calor.Cable + wifi incluidos.Precio todo incluido $40.000 + factura de luz.","{'Características generales': ('Cantidad dormitorios: 2', 'Superficie del terreno (m²): 0'), 'Servicios': ('Gas natural', 'Internet', 'Luz', 'Video cable', 'Agua corriente', 'Desagüe cloacal', 'Pavimento'), 'Ambientes': ('Balcón', 'Living comedor', 'Toilette', 'Hall')}",0,,Contrafrente,Excelente,,E
